         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas3324         Pavarde3324             7.09333            7.2
     Vardas3325         Pavarde3325                2.68            2.6
     Vardas3326         Pavarde3326             8.53333            8.8
     Vardas3327         Pavarde3327             4.29333              4
     Vardas3328         Pavarde3328             2.62667            2.2
     Vardas3329         Pavarde3329                3.52            3.6
      Vardas333          Pavarde333                5.12            5.2
     Vardas3330         Pavarde3330             2.93333            2.4
     Vardas3331         Pavarde3331             6.05333              6
     Vardas3332         Pavarde3332             4.66667            4.8
     Vardas3333         Pavarde3333             5.73333            5.6
     Vardas3334         Pavarde3334             7.06667            7.2
     Vardas3335         Pavarde3335             4.22667              5
     Vardas3336         Pavarde3336                6.76            7.4
     Vardas3337         Pavarde3337                3.52            3.6
     Vardas3338         Pavarde3338             6.90667            6.8
     Vardas3339         Pavarde3339             3.66667            3.4
      Vardas334          Pavarde334             3.57333            3.6
     Vardas3340         Pavarde3340             4.69333            4.4
     Vardas3341         Pavarde3341             6.37333            6.8
     Vardas3342         Pavarde3342                3.64            3.8
     Vardas3343         Pavarde3343             7.34667            7.4
     Vardas3344         Pavarde3344                 8.8            8.4
     Vardas3345         Pavarde3345                5.32            5.4
     Vardas3346         Pavarde3346             2.65333            2.6
     Vardas3347         Pavarde3347             2.46667            2.2
     Vardas3348         Pavarde3348             5.37333            5.4
     Vardas3349         Pavarde3349             2.90667            2.8
      Vardas335          Pavarde335             2.62667            2.6
     Vardas3350         Pavarde3350             6.38667            6.6
     Vardas3351         Pavarde3351                4.36            4.6
     Vardas3352         Pavarde3352             5.57333            5.6
     Vardas3353         Pavarde3353             6.25333            6.6
     Vardas3354         Pavarde3354             6.86667            7.4
     Vardas3355         Pavarde3355             8.45333            8.4
     Vardas3356         Pavarde3356                3.36              4
     Vardas3357         Pavarde3357             7.50667            7.4
     Vardas3358         Pavarde3358             6.13333              6
     Vardas3359         Pavarde3359                 5.6            5.6
      Vardas336          Pavarde336             6.37333              6
     Vardas3360         Pavarde3360             6.69333            6.4
     Vardas3361         Pavarde3361             8.34667            8.4
     Vardas3362         Pavarde3362                 5.6            5.6
     Vardas3363         Pavarde3363             4.98667            5.2
     Vardas3364         Pavarde3364                4.56              4
     Vardas3365         Pavarde3365                2.88            2.8
     Vardas3366         Pavarde3366             8.06667            8.6
     Vardas3367         Pavarde3367             4.58667            4.8
     Vardas3368         Pavarde3368             2.22667            2.2
     Vardas3369         Pavarde3369                4.12            4.2
      Vardas337          Pavarde337             3.98667            4.2
     Vardas3370         Pavarde3370             4.86667              5
     Vardas3371         Pavarde3371             5.90667            5.4
     Vardas3372         Pavarde3372             5.61333            5.8
     Vardas3373         Pavarde3373             4.90667            5.2
     Vardas3374         Pavarde3374             2.78667              3
     Vardas3375         Pavarde3375                 7.8            8.2
     Vardas3376         Pavarde3376             8.45333            8.8
     Vardas3377         Pavarde3377             4.01333            3.8
     Vardas3378         Pavarde3378             4.01333            3.8
     Vardas3379         Pavarde3379                3.52            3.6
      Vardas338          Pavarde338                7.92              8
     Vardas3380         Pavarde3380             2.78667            2.6
     Vardas3381         Pavarde3381             7.30667            7.6
     Vardas3382         Pavarde3382                 3.6            3.6
     Vardas3383         Pavarde3383                8.56            8.4
     Vardas3384         Pavarde3384             4.14667            4.2
     Vardas3385         Pavarde3385             3.22667            2.8
     Vardas3386         Pavarde3386             5.53333            5.4
     Vardas3387         Pavarde3387             7.06667            7.6
     Vardas3388         Pavarde3388                6.04            5.8
     Vardas3389         Pavarde3389             3.74667            3.4
      Vardas339          Pavarde339                5.12            5.2
     Vardas3390         Pavarde3390             5.29333            5.4
     Vardas3391         Pavarde3391                 7.2            7.2
     Vardas3392         Pavarde3392             6.89333              7
     Vardas3393         Pavarde3393                7.64            7.4
     Vardas3394         Pavarde3394             5.18667            5.4
     Vardas3395         Pavarde3395             8.58667            9.2
     Vardas3396         Pavarde3396             4.38667            4.6
     Vardas3397         Pavarde3397                2.84            2.6
     Vardas3398         Pavarde3398                6.88            6.8
     Vardas3399         Pavarde3399                8.64            9.2
       Vardas34           Pavarde34                5.36            4.8
      Vardas340          Pavarde340             8.26667            7.6
     Vardas3400         Pavarde3400             7.66667            8.2
     Vardas3401         Pavarde3401                2.92              3
     Vardas3402         Pavarde3402             5.41333            5.2
     Vardas3403         Pavarde3403                7.72            7.4
     Vardas3404         Pavarde3404             8.17333            8.6
     Vardas3405         Pavarde3405                 3.8            3.8
     Vardas3406         Pavarde3406             5.45333            5.4
     Vardas3407         Pavarde3407             8.18667            8.4
     Vardas3408         Pavarde3408             2.81333              3
     Vardas3409         Pavarde3409             5.70667            5.6
      Vardas341          Pavarde341             5.54667            5.2
     Vardas3410         Pavarde3410             4.53333            4.4
     Vardas3411         Pavarde3411             8.05333            8.4
     Vardas3412         Pavarde3412             5.82667            5.8
     Vardas3413         Pavarde3413             7.34667              7
     Vardas3414         Pavarde3414             6.82667            6.8
     Vardas3415         Pavarde3415             7.06667            7.2
     Vardas3416         Pavarde3416             7.85333            7.8
     Vardas3417         Pavarde3417             7.01333            6.8
     Vardas3418         Pavarde3418                4.28            4.6
     Vardas3419         Pavarde3419                7.12            7.2
      Vardas342          Pavarde342             6.01333            5.4
     Vardas3420         Pavarde3420             8.42667              8
     Vardas3421         Pavarde3421             7.17333            7.2
     Vardas3422         Pavarde3422             3.93333            4.6
     Vardas3423         Pavarde3423             5.97333              6
     Vardas3424         Pavarde3424             8.82667            8.8
     Vardas3425         Pavarde3425             4.61333            4.8
     Vardas3426         Pavarde3426                5.52            5.2
     Vardas3427         Pavarde3427             6.78667              7
     Vardas3428         Pavarde3428                7.92            7.6
     Vardas3429         Pavarde3429             3.26667            2.6
      Vardas343          Pavarde343             2.14667            1.8
     Vardas3430         Pavarde3430                8.16            8.4
     Vardas3431         Pavarde3431             7.22667            7.6
     Vardas3432         Pavarde3432             5.65333              6
     Vardas3433         Pavarde3433             6.49333            6.2
     Vardas3434         Pavarde3434             5.10667            4.6
     Vardas3435         Pavarde3435             2.98667            3.2
     Vardas3436         Pavarde3436             4.77333            5.2
     Vardas3437         Pavarde3437                3.44            3.2
     Vardas3438         Pavarde3438             3.73333              4
     Vardas3439         Pavarde3439                2.84              3
      Vardas344          Pavarde344             7.81333            7.6
     Vardas3440         Pavarde3440             4.29333            4.4
     Vardas3441         Pavarde3441                8.32            8.4
     Vardas3442         Pavarde3442             3.25333            2.8
     Vardas3443         Pavarde3443                3.08              3
     Vardas3444         Pavarde3444             7.01333            7.2
     Vardas3445         Pavarde3445             4.01333            4.2
     Vardas3446         Pavarde3446                 3.6            3.6
     Vardas3447         Pavarde3447             5.78667            5.6
     Vardas3448         Pavarde3448                6.96            6.8
     Vardas3449         Pavarde3449             7.05333            7.4
      Vardas345          Pavarde345                 4.2            3.8
     Vardas3450         Pavarde3450             5.25333            4.8
     Vardas3451         Pavarde3451                6.72            6.8
     Vardas3452         Pavarde3452             6.85333            6.4
     Vardas3453         Pavarde3453                6.36            6.6
     Vardas3454         Pavarde3454             3.38667            3.6
     Vardas3455         Pavarde3455             6.57333            6.2
     Vardas3456         Pavarde3456             5.53333            5.4
     Vardas3457         Pavarde3457             5.46667            5.2
     Vardas3458         Pavarde3458             8.05333            7.6
     Vardas3459         Pavarde3459                5.08              5
      Vardas346          Pavarde346             5.05333              5
     Vardas3460         Pavarde3460             5.78667              6
     Vardas3461         Pavarde3461                8.64            8.8
     Vardas3462         Pavarde3462                8.16              8
     Vardas3463         Pavarde3463                3.12            2.8
     Vardas3464         Pavarde3464             5.78667              6
     Vardas3465         Pavarde3465             5.54667            5.6
     Vardas3466         Pavarde3466             3.97333            4.4
     Vardas3467         Pavarde3467             7.98667            8.2
     Vardas3468         Pavarde3468             2.73333            2.6
     Vardas3469         Pavarde3469             5.45333            5.4
      Vardas347          Pavarde347             5.18667            5.4
     Vardas3470         Pavarde3470                4.64            4.8
     Vardas3471         Pavarde3471             7.58667            7.8
     Vardas3472         Pavarde3472             4.50667              4
     Vardas3473         Pavarde3473             2.86667            2.6
     Vardas3474         Pavarde3474             7.09333            7.2
     Vardas3475         Pavarde3475             3.49333            3.6
     Vardas3476         Pavarde3476             3.54667            3.6
     Vardas3477         Pavarde3477             4.09333            4.6
     Vardas3478         Pavarde3478             6.06667            6.2
     Vardas3479         Pavarde3479             6.02667              6
      Vardas348          Pavarde348             8.58667            9.2
     Vardas3480         Pavarde3480                7.12            7.2
     Vardas3481         Pavarde3481             7.58667            7.4
     Vardas3482         Pavarde3482             4.93333            5.2
     Vardas3483         Pavarde3483             3.90667            4.2
     Vardas3484         Pavarde3484                7.92            7.6
     Vardas3485         Pavarde3485             6.29333            6.4
     Vardas3486         Pavarde3486             6.58667            6.8
     Vardas3487         Pavarde3487             5.82667            5.4
     Vardas3488         Pavarde3488                3.48            3.4
     Vardas3489         Pavarde3489             4.66667            4.4
      Vardas349          Pavarde349             6.26667            6.4
     Vardas3490         Pavarde3490             4.90667            5.2
     Vardas3491         Pavarde3491             4.53333            4.4
     Vardas3492         Pavarde3492             6.42667            6.8
     Vardas3493         Pavarde3493             6.82667            6.8
     Vardas3494         Pavarde3494             5.94667              6
     Vardas3495         Pavarde3495                2.76              3
     Vardas3496         Pavarde3496                3.28            3.2
     Vardas3497         Pavarde3497                6.88            6.8
     Vardas3498         Pavarde3498                4.08              4
     Vardas3499         Pavarde3499             7.30667            7.2
       Vardas35           Pavarde35             2.97333            3.4
      Vardas350          Pavarde350             4.01333            4.2
     Vardas3500         Pavarde3500                 5.6            5.6
     Vardas3501         Pavarde3501             7.94667            7.6
     Vardas3502         Pavarde3502             6.37333              6
     Vardas3503         Pavarde3503             7.09333            7.6
     Vardas3504         Pavarde3504             4.58667            5.2
     Vardas3505         Pavarde3505             3.14667            3.2
     Vardas3506         Pavarde3506             5.86667              6
     Vardas3507         Pavarde3507             2.94667              3
     Vardas3508         Pavarde3508             3.69333            3.4
     Vardas3509         Pavarde3509             5.22667            4.8
      Vardas351          Pavarde351             5.78667              6
     Vardas3510         Pavarde3510             8.42667            8.4
     Vardas3511         Pavarde3511             3.05333            3.4
     Vardas3512         Pavarde3512                3.28            3.2
     Vardas3513         Pavarde3513             3.09333            2.8
     Vardas3514         Pavarde3514                 4.6            4.2
     Vardas3515         Pavarde3515                4.72            5.2
     Vardas3516         Pavarde3516             6.85333            6.4
     Vardas3517         Pavarde3517                3.52            3.6
     Vardas3518         Pavarde3518             2.89333            3.4
     Vardas3519         Pavarde3519                6.52              7
      Vardas352          Pavarde352             6.49333            6.6
     Vardas3520         Pavarde3520             2.86667            3.4
     Vardas3521         Pavarde3521                 5.6            5.6
     Vardas3522         Pavarde3522             6.65333              7
     Vardas3523         Pavarde3523                 7.4            7.4
     Vardas3524         Pavarde3524             4.54667              5
     Vardas3525         Pavarde3525             8.10667              8
     Vardas3526         Pavarde3526                3.36            3.2
     Vardas3527         Pavarde3527                7.16              7
     Vardas3528         Pavarde3528                5.84              6
     Vardas3529         Pavarde3529             7.94667              8
      Vardas353          Pavarde353             7.61333            7.8
     Vardas3530         Pavarde3530             4.09333            3.8
     Vardas3531         Pavarde3531             3.82667            3.8
     Vardas3532         Pavarde3532             2.86667            3.4
     Vardas3533         Pavarde3533                5.16            5.4
     Vardas3534         Pavarde3534             6.33333            6.2
     Vardas3535         Pavarde3535                 5.2            4.8
     Vardas3536         Pavarde3536             7.22667            7.2
     Vardas3537         Pavarde3537                6.88            6.8
     Vardas3538         Pavarde3538                 3.2            2.8
     Vardas3539         Pavarde3539             4.18667              4
      Vardas354          Pavarde354             3.01333            2.8
     Vardas3540         Pavarde3540             7.69333            8.2
     Vardas3541         Pavarde3541             8.17333              9
     Vardas3542         Pavarde3542             7.17333            7.2
     Vardas3543         Pavarde3543             3.70667            3.6
     Vardas3544         Pavarde3544                8.16            8.8
     Vardas3545         Pavarde3545             6.93333            6.8
     Vardas3546         Pavarde3546                7.04            7.6
     Vardas3547         Pavarde3547             6.77333            6.8
     Vardas3548         Pavarde3548                 3.6            3.6
     Vardas3549         Pavarde3549                8.72            8.8
      Vardas355          Pavarde355             5.78667            5.2
     Vardas3550         Pavarde3550                 8.4            8.8
     Vardas3551         Pavarde3551             7.42667            7.4
     Vardas3552         Pavarde3552                7.64            7.8
     Vardas3553         Pavarde3553             3.33333            3.2
     Vardas3554         Pavarde3554             7.37333            7.4
     Vardas3555         Pavarde3555             2.65333            2.6
     Vardas3556         Pavarde3556                 7.2            7.6
     Vardas3557         Pavarde3557             8.61333            8.8
     Vardas3558         Pavarde3558             5.69333            5.4
     Vardas3559         Pavarde3559             7.53333            7.4
      Vardas356          Pavarde356             2.86667            2.6
     Vardas3560         Pavarde3560             5.89333            5.6
     Vardas3561         Pavarde3561                5.92              6
     Vardas3562         Pavarde3562             2.94667              3
     Vardas3563         Pavarde3563             7.90667            7.4
     Vardas3564         Pavarde3564             8.50667            8.8
     Vardas3565         Pavarde3565                4.88            4.8
     Vardas3566         Pavarde3566                4.12            4.2
     Vardas3567         Pavarde3567             6.82667            7.2
     Vardas3568         Pavarde3568             3.98667            3.4
     Vardas3569         Pavarde3569             7.66667            7.4
      Vardas357          Pavarde357             4.74667            4.8
     Vardas3570         Pavarde3570                7.64            7.4
     Vardas3571         Pavarde3571             4.09333            3.8
     Vardas3572         Pavarde3572             4.25333            4.2
     Vardas3573         Pavarde3573             3.30667            3.2
     Vardas3574         Pavarde3574             5.33333            5.2
     Vardas3575         Pavarde3575             3.05333              3
     Vardas3576         Pavarde3576                 6.6              7
     Vardas3577         Pavarde3577             6.62667              7
     Vardas3578         Pavarde3578             5.65333            5.2
     Vardas3579         Pavarde3579             3.66667            3.8
      Vardas358          Pavarde358             5.02667            4.6
     Vardas3580         Pavarde3580                5.84            5.6
     Vardas3581         Pavarde3581             4.82667            4.8
     Vardas3582         Pavarde3582             6.38667            6.6
     Vardas3583         Pavarde3583                3.36            2.8
     Vardas3584         Pavarde3584             8.29333            8.4
     Vardas3585         Pavarde3585             4.26667            4.4
     Vardas3586         Pavarde3586                3.28            3.2
     Vardas3587         Pavarde3587                 7.2            7.6
     Vardas3588         Pavarde3588             7.66667            7.8
     Vardas3589         Pavarde3589             6.25333            6.6
      Vardas359          Pavarde359             8.58667            8.8
     Vardas3590         Pavarde3590                 7.4              7
     Vardas3591         Pavarde3591             6.25333            6.2
     Vardas3592         Pavarde3592             6.54667            6.6
     Vardas3593         Pavarde3593             6.22667            6.2
     Vardas3594         Pavarde3594             4.34667            4.4
     Vardas3595         Pavarde3595             7.37333            6.6
     Vardas3596         Pavarde3596             4.61333            4.4
     Vardas3597         Pavarde3597                2.36            2.2
     Vardas3598         Pavarde3598             7.50667            7.8
     Vardas3599         Pavarde3599                 7.4            7.4
       Vardas36           Pavarde36             8.90667            9.2
      Vardas360          Pavarde360             3.93333            3.8
     Vardas3600         Pavarde3600             8.42667            8.4
     Vardas3601         Pavarde3601             4.34667            4.4
     Vardas3602         Pavarde3602             7.01333            6.8
     Vardas3603         Pavarde3603             6.90667            6.8
     Vardas3604         Pavarde3604                8.64            8.4
     Vardas3605         Pavarde3605                4.28            4.6
     Vardas3606         Pavarde3606             8.34667            8.8
     Vardas3607         Pavarde3607                4.84            4.6
     Vardas3608         Pavarde3608             5.01333            4.8
     Vardas3609         Pavarde3609             3.86667              4
      Vardas361          Pavarde361             7.53333            7.4
     Vardas3610         Pavarde3610             4.97333            4.6
     Vardas3611         Pavarde3611             4.42667            4.4
     Vardas3612         Pavarde3612             7.58667            7.8
     Vardas3613         Pavarde3613             7.01333            7.6
     Vardas3614         Pavarde3614             4.61333            4.4
     Vardas3615         Pavarde3615                4.56            4.4
     Vardas3616         Pavarde3616                 5.6            5.2
     Vardas3617         Pavarde3617                   6            6.4
     Vardas3618         Pavarde3618                 4.4              4
     Vardas3619         Pavarde3619             5.86667              6
      Vardas362          Pavarde362             4.18667            3.6
     Vardas3620         Pavarde3620                2.96            2.4
     Vardas3621         Pavarde3621             6.02667              6
     Vardas3622         Pavarde3622             4.69333            4.8
     Vardas3623         Pavarde3623             6.85333            7.2
     Vardas3624         Pavarde3624                7.52            7.6
     Vardas3625         Pavarde3625             4.22667            4.2
     Vardas3626         Pavarde3626             2.30667            2.2
     Vardas3627         Pavarde3627             5.78667            5.6
     Vardas3628         Pavarde3628             6.14667            6.2
     Vardas3629         Pavarde3629                3.28            3.2
      Vardas363          Pavarde363             7.10667            6.6
     Vardas3630         Pavarde3630                3.28            3.2
     Vardas3631         Pavarde3631                   7            7.4
     Vardas3632         Pavarde3632             4.93333            5.2
     Vardas3633         Pavarde3633                4.72            4.8
     Vardas3634         Pavarde3634             5.78667              6
     Vardas3635         Pavarde3635             4.02667            3.2
     Vardas3636         Pavarde3636                3.72            3.4
     Vardas3637         Pavarde3637             3.54667            3.2
     Vardas3638         Pavarde3638                6.36            6.6
     Vardas3639         Pavarde3639                5.08            5.4
      Vardas364          Pavarde364                7.48            7.4
     Vardas3640         Pavarde3640                8.04            8.6
     Vardas3641         Pavarde3641                8.72            9.2
     Vardas3642         Pavarde3642             2.89333            3.4
     Vardas3643         Pavarde3643             4.25333            4.2
     Vardas3644         Pavarde3644             5.02667              5
     Vardas3645         Pavarde3645                4.56            4.4
     Vardas3646         Pavarde3646             8.53333            8.4
     Vardas3647         Pavarde3647             5.54667            5.6
     Vardas3648         Pavarde3648             3.57333            3.2
     Vardas3649         Pavarde3649                7.12            7.2
      Vardas365          Pavarde365             2.38667            2.6
     Vardas3650         Pavarde3650                5.08            5.4
     Vardas3651         Pavarde3651             8.21333              8
     Vardas3652         Pavarde3652             3.58667            3.4
     Vardas3653         Pavarde3653             7.25333            7.6
     Vardas3654         Pavarde3654             3.45333              3
     Vardas3655         Pavarde3655                3.76              4
     Vardas3656         Pavarde3656             4.09333            4.2
     Vardas3657         Pavarde3657             8.42667            8.8
     Vardas3658         Pavarde3658             2.97333            3.4
     Vardas3659         Pavarde3659             6.30667            6.2
      Vardas366          Pavarde366                3.72              3
     Vardas3660         Pavarde3660                7.72            7.8
     Vardas3661         Pavarde3661             7.30667            7.6
     Vardas3662         Pavarde3662             7.66667            7.8
     Vardas3663         Pavarde3663             7.25333            7.2
     Vardas3664         Pavarde3664                6.84              7
     Vardas3665         Pavarde3665             6.02667              6
     Vardas3666         Pavarde3666             7.77333            7.8
     Vardas3667         Pavarde3667             4.86667              5
     Vardas3668         Pavarde3668             7.21333            7.4
     Vardas3669         Pavarde3669             6.97333            7.4
      Vardas367          Pavarde367             1.74667            1.8
     Vardas3670         Pavarde3670                   6              6
     Vardas3671         Pavarde3671             5.17333            4.8
     Vardas3672         Pavarde3672                 7.4            7.4
     Vardas3673         Pavarde3673             7.90667            7.8
     Vardas3674         Pavarde3674             7.41333            7.6
     Vardas3675         Pavarde3675             5.54667            5.6
     Vardas3676         Pavarde3676                 7.4              7
     Vardas3677         Pavarde3677             3.26667            3.4
     Vardas3678         Pavarde3678             8.18667            8.4
     Vardas3679         Pavarde3679             8.05333            7.6
      Vardas368          Pavarde368                 5.6            5.6
     Vardas3680         Pavarde3680             7.74667            7.8
     Vardas3681         Pavarde3681             3.18667            3.8
     Vardas3682         Pavarde3682                5.16              5
     Vardas3683         Pavarde3683             6.66667            6.4
     Vardas3684         Pavarde3684             8.77333            8.8
     Vardas3685         Pavarde3685             5.45333            6.2
     Vardas3686         Pavarde3686             4.77333              4
     Vardas3687         Pavarde3687             3.82667            3.8
     Vardas3688         Pavarde3688             3.70667              4
     Vardas3689         Pavarde3689                8.72            8.8
      Vardas369          Pavarde369             3.22667            2.8
     Vardas3690         Pavarde3690             6.57333            6.6
     Vardas3691         Pavarde3691                7.48            7.4
     Vardas3692         Pavarde3692                7.16              7
     Vardas3693         Pavarde3693                6.48            6.4
     Vardas3694         Pavarde3694             4.98667            5.2
     Vardas3695         Pavarde3695                2.76            2.2
     Vardas3696         Pavarde3696                6.72            6.4
     Vardas3697         Pavarde3697             7.30667            7.6
     Vardas3698         Pavarde3698             6.42667            6.4
     Vardas3699         Pavarde3699                4.64            4.8
       Vardas37           Pavarde37                 3.6            3.6
      Vardas370          Pavarde370             3.21333            3.4
     Vardas3700         Pavarde3700                3.08            3.4
     Vardas3701         Pavarde3701             5.61333            5.4
     Vardas3702         Pavarde3702                5.68              6
     Vardas3703         Pavarde3703                5.76              6
     Vardas3704         Pavarde3704                4.32            4.8
     Vardas3705         Pavarde3705             7.34667            7.8
     Vardas3706         Pavarde3706             3.01333            2.4
     Vardas3707         Pavarde3707             7.89333            7.6
     Vardas3708         Pavarde3708                3.24            3.4
     Vardas3709         Pavarde3709             4.06667            3.8
      Vardas371          Pavarde371             3.49333            3.2
     Vardas3710         Pavarde3710                7.56            7.8
     Vardas3711         Pavarde3711                 4.8            4.8
     Vardas3712         Pavarde3712                8.08            8.4
     Vardas3713         Pavarde3713             5.02667              5
     Vardas3714         Pavarde3714             4.30667              5
     Vardas3715         Pavarde3715                6.12            6.2
     Vardas3716         Pavarde3716             4.69333            5.2
     Vardas3717         Pavarde3717             5.97333              6
     Vardas3718         Pavarde3718             7.74667            8.2
     Vardas3719         Pavarde3719             2.61333            2.4
      Vardas372          Pavarde372                 3.2            3.2
     Vardas3720         Pavarde3720             6.22667            6.2
     Vardas3721         Pavarde3721             5.78667            5.2
     Vardas3722         Pavarde3722             4.70667            4.6
     Vardas3723         Pavarde3723             7.50667            7.8
     Vardas3724         Pavarde3724             8.74667            9.2
     Vardas3725         Pavarde3725             5.22667            5.2
     Vardas3726         Pavarde3726             6.29333            6.4
     Vardas3727         Pavarde3727                5.76              6
     Vardas3728         Pavarde3728             3.85333            3.4
     Vardas3729         Pavarde3729                4.88            4.8
      Vardas373          Pavarde373             4.69333            4.8
     Vardas3730         Pavarde3730             3.81333              4
     Vardas3731         Pavarde3731             4.66667            4.8
     Vardas3732         Pavarde3732                6.28            6.2
     Vardas3733         Pavarde3733             4.21333              4
     Vardas3734         Pavarde3734             2.70667            2.6
     Vardas3735         Pavarde3735                4.72            4.8
     Vardas3736         Pavarde3736                7.32            7.4
     Vardas3737         Pavarde3737                2.28            1.8
     Vardas3738         Pavarde3738             8.29333            8.4
     Vardas3739         Pavarde3739             6.49333            6.6
      Vardas374          Pavarde374                2.92              3
     Vardas3740         Pavarde3740             2.65333            2.6
     Vardas3741         Pavarde3741             3.26667            3.4
     Vardas3742         Pavarde3742             5.89333              6
     Vardas3743         Pavarde3743             7.45333            7.8
     Vardas3744         Pavarde3744                3.36            3.6
     Vardas3745         Pavarde3745             2.94667              3
     Vardas3746         Pavarde3746             3.25333            3.2
     Vardas3747         Pavarde3747             6.98667            6.8
     Vardas3748         Pavarde3748             4.97333            4.6
     Vardas3749         Pavarde3749             8.45333            8.4
      Vardas375          Pavarde375             4.29333              4
     Vardas3750         Pavarde3750             5.65333            5.2
     Vardas3751         Pavarde3751             7.10667              7
     Vardas3752         Pavarde3752                5.68            5.6
     Vardas3753         Pavarde3753             3.86667              4
     Vardas3754         Pavarde3754             4.53333            4.8
     Vardas3755         Pavarde3755                6.96            7.2
     Vardas3756         Pavarde3756             5.13333            5.4
     Vardas3757         Pavarde3757             4.54667            3.8
     Vardas3758         Pavarde3758             8.33333            8.6
     Vardas3759         Pavarde3759             6.93333            6.8
      Vardas376          Pavarde376             5.97333            6.4
     Vardas3760         Pavarde3760             6.53333            6.4
     Vardas3761         Pavarde3761             8.21333              8
     Vardas3762         Pavarde3762             6.65333              7
     Vardas3763         Pavarde3763                 5.6            5.6
     Vardas3764         Pavarde3764             2.57333            2.2
     Vardas3765         Pavarde3765                3.56            3.4
     Vardas3766         Pavarde3766             8.05333              8
     Vardas3767         Pavarde3767             2.33333            1.8
     Vardas3768         Pavarde3768             5.26667            5.4
     Vardas3769         Pavarde3769                3.32            3.8
      Vardas377          Pavarde377                 7.4              7
     Vardas3770         Pavarde3770             7.45333            7.4
     Vardas3771         Pavarde3771                7.72            7.8
     Vardas3772         Pavarde3772             4.65333            4.6
     Vardas3773         Pavarde3773             7.86667              8
     Vardas3774         Pavarde3774                 3.2            2.8
     Vardas3775         Pavarde3775             4.69333            4.8
     Vardas3776         Pavarde3776             4.70667            4.6
     Vardas3777         Pavarde3777             7.49333            7.2
     Vardas3778         Pavarde3778             4.82667            5.6
     Vardas3779         Pavarde3779             3.26667            3.4
      Vardas378          Pavarde378             4.30667            4.6
     Vardas3780         Pavarde3780                3.08            3.4
     Vardas3781         Pavarde3781             7.14667            7.2
     Vardas3782         Pavarde3782             4.50667              4
     Vardas3783         Pavarde3783             3.42667            3.8
     Vardas3784         Pavarde3784             5.81333            6.4
     Vardas3785         Pavarde3785                6.52            6.6
     Vardas3786         Pavarde3786             4.45333            4.4
     Vardas3787         Pavarde3787                3.36            3.6
     Vardas3788         Pavarde3788                 6.6              7
     Vardas3789         Pavarde3789                8.32              8
      Vardas379          Pavarde379                2.36            2.2
     Vardas3790         Pavarde3790             7.38667            7.6
     Vardas3791         Pavarde3791             7.34667              7
     Vardas3792         Pavarde3792             8.34667            8.8
     Vardas3793         Pavarde3793             3.74667            3.4
     Vardas3794         Pavarde3794             4.38667            4.6
     Vardas3795         Pavarde3795                4.64            4.8
     Vardas3796         Pavarde3796                 4.4              4
     Vardas3797         Pavarde3797             6.53333            6.4
     Vardas3798         Pavarde3798             6.93333            6.8
     Vardas3799         Pavarde3799                4.44            4.6
       Vardas38           Pavarde38             4.73333            4.6
      Vardas380          Pavarde380             3.89333            3.6
     Vardas3800         Pavarde3800             2.49333            2.2
     Vardas3801         Pavarde3801                3.76              4
     Vardas3802         Pavarde3802             4.61333            4.8
     Vardas3803         Pavarde3803                6.84            7.4
     Vardas3804         Pavarde3804                6.12            6.2
     Vardas3805         Pavarde3805                8.16            7.6
     Vardas3806         Pavarde3806             5.37333            5.4
     Vardas3807         Pavarde3807                6.72            6.4
     Vardas3808         Pavarde3808                4.56            4.8
     Vardas3809         Pavarde3809             5.81333              6
      Vardas381          Pavarde381                4.72            4.8
     Vardas3810         Pavarde3810                5.76              6
     Vardas3811         Pavarde3811                8.48            8.8
     Vardas3812         Pavarde3812             7.61333            7.4
     Vardas3813         Pavarde3813                6.36            6.6
     Vardas3814         Pavarde3814             2.81333              3
     Vardas3815         Pavarde3815                6.64            6.4
     Vardas3816         Pavarde3816             7.01333            7.2
     Vardas3817         Pavarde3817             6.61333            6.8
     Vardas3818         Pavarde3818             8.34667            8.4
     Vardas3819         Pavarde3819                   3            3.4
      Vardas382          Pavarde382                4.28            4.2
     Vardas3820         Pavarde3820                6.08              6
     Vardas3821         Pavarde3821             3.77333            3.4
     Vardas3822         Pavarde3822             2.73333              3
     Vardas3823         Pavarde3823                7.28            7.6
     Vardas3824         Pavarde3824             7.13333            7.4
     Vardas3825         Pavarde3825             5.49333            5.2
     Vardas3826         Pavarde3826                2.44            2.2
     Vardas3827         Pavarde3827             6.90667            6.8
     Vardas3828         Pavarde3828                2.68            2.2
     Vardas3829         Pavarde3829             5.01333            5.2
      Vardas383          Pavarde383             5.34667            5.8
     Vardas3830         Pavarde3830             8.26667            8.4
     Vardas3831         Pavarde3831             4.38667            4.6
     Vardas3832         Pavarde3832             3.69333            3.8
     Vardas3833         Pavarde3833             7.06667            7.2
     Vardas3834         Pavarde3834             5.70667              6
     Vardas3835         Pavarde3835             8.02667            7.6
     Vardas3836         Pavarde3836                5.24            5.4
     Vardas3837         Pavarde3837             3.93333            4.2
     Vardas3838         Pavarde3838             6.81333              7
     Vardas3839         Pavarde3839             3.46667            3.2
      Vardas384          Pavarde384                7.68            7.6
     Vardas3840         Pavarde3840             3.98667            4.2
     Vardas3841         Pavarde3841             3.66667            3.8
     Vardas3842         Pavarde3842             3.61333            3.4
     Vardas3843         Pavarde3843             8.45333              8
